o-date,o-teaser__tag,o-teaser__tag href,js-teaser-heading-link,js-teaser-heading-link href,js-teaser-standfirst-link,js-teaser-standfirst-link href,save-button-with-icon-copy,o-teaser__image-container href,o-teaser__tag-prefix
October 18 2021,Robert Armstrong,https://www.ft.com/robert-armstrong,Inflation is sticky; are margins?,https://www.ft.com/content/c68bb12d-ea3a-4e2d-8ca4-b4fa4d946a5b,What to watch this earnings season,https://www.ft.com/content/c68bb12d-ea3a-4e2d-8ca4-b4fa4d946a5b,Save,https://www.ft.com/content/c68bb12d-ea3a-4e2d-8ca4-b4fa4d946a5b,Unhedged
October 18 2021,Goldman Sachs Group,https://www.ft.com/stream/980562d6-2db0-4b25-a349-b83d4b86bea7,Goldman Sachs granted full ownership of China securities venture,https://www.ft.com/content/3c74fac6-65fa-4af1-a4a7-211eefac1923,US bank hails ‘milestone’ as it prepares to increase staffing and investment in the country,https://www.ft.com/content/3c74fac6-65fa-4af1-a4a7-211eefac1923,Save,https://www.ft.com/content/3c74fac6-65fa-4af1-a4a7-211eefac1923,
October 18 2021,Charts that Matter,https://www.ft.com/stream/f0a29340-05dc-4ab0-9f3b-4628b2024c77,Emerging markets’ slowing growth poses challenge to investors,https://www.ft.com/content/fc5ffa94-04cd-4526-b5ce-c771e6be7515,"China’s economy will expand at roughly the same pace as the US next year, says BofA",https://www.ft.com/content/fc5ffa94-04cd-4526-b5ce-c771e6be7515,Save,https://www.ft.com/content/fc5ffa94-04cd-4526-b5ce-c771e6be7515,Explainer
October 18 2021,Mohamed El-Erian,https://www.ft.com/mohamed-el-erian,Developing economies risk falling off the convergence process,https://www.ft.com/content/587a6a39-54ed-4d69-a677-5663cc9880f2,Rising inflation and supply chain woes add to pressure on vulnerable countries,https://www.ft.com/content/587a6a39-54ed-4d69-a677-5663cc9880f2,Save,https://www.ft.com/content/587a6a39-54ed-4d69-a677-5663cc9880f2,Markets Insight
October 17 2021,UK inflation,https://www.ft.com/stream/77b28b2b-7a5c-4103-a86f-9af8ba039296,Bank of England chief warns it ‘will have to act’ to curb inflation,https://www.ft.com/content/160e6e1a-2584-4013-8102-3ae5cfadb1d8,Andrew Bailey makes no attempt in speech to central bankers to quell expectations of rate rise this year,https://www.ft.com/content/160e6e1a-2584-4013-8102-3ae5cfadb1d8,Save,https://www.ft.com/content/160e6e1a-2584-4013-8102-3ae5cfadb1d8,
October 17 2021,The Week Ahead,https://www.ft.com/week-ahead,Brussels plays host to some tricky international debate,https://www.ft.com/content/3564eb1a-369b-4044-8714-669e14179d54,"EU leaders will discuss vaccine support for developing countries, and big brands update on rocky road to recovery",https://www.ft.com/content/3564eb1a-369b-4044-8714-669e14179d54,Save,https://www.ft.com/content/3564eb1a-369b-4044-8714-669e14179d54,
October 17 2021,Executive MBA,https://www.ft.com/stream/06f68927-558f-41ca-9c2f-cf30cd47416d,How the world stays open for business,https://www.ft.com/content/7c4d2c97-f50a-4575-89c7-713b329a645b,Globalisation has proved resilient to multiple serious threats. What keeps it afloat?,https://www.ft.com/content/7c4d2c97-f50a-4575-89c7-713b329a645b,Save,https://www.ft.com/content/7c4d2c97-f50a-4575-89c7-713b329a645b,
October 17 2021,Rana Foroohar,https://www.ft.com/rana-foroohar,Supply chain lessons from Long Beach,https://www.ft.com/content/8eb4e20f-b436-4245-af92-74a8f3c9e3bc,What port delays tell us about the pre-pandemic problems of the global economy,https://www.ft.com/content/8eb4e20f-b436-4245-af92-74a8f3c9e3bc,Save,https://www.ft.com/content/8eb4e20f-b436-4245-af92-74a8f3c9e3bc,
October 17 2021,The editorial board,https://www.ft.com/ft-view,LinkedIn’s unsustainable compromise in China,https://www.ft.com/content/bef47d1c-2c70-4a1b-8db8-6f69293b87e3,Western companies will have to decide between profit and ethics,https://www.ft.com/content/bef47d1c-2c70-4a1b-8db8-6f69293b87e3,Save,https://www.ft.com/content/bef47d1c-2c70-4a1b-8db8-6f69293b87e3,The FT View
October 17 2021,Market Questions,https://www.ft.com/markets/market-questions,Will Evergrande and the coal crisis weigh on Chinese growth?,https://www.ft.com/content/9d3ecd9a-30d2-40b4-80dc-332b4a4dc63b,Market Questions is the FT’s guide to the week ahead,https://www.ft.com/content/9d3ecd9a-30d2-40b4-80dc-332b4a4dc63b,Save,https://www.ft.com/content/9d3ecd9a-30d2-40b4-80dc-332b4a4dc63b,Explainer
October 16 2021,Energy crisis,https://www.ft.com/stream/88f84738-6118-46ea-bb9b-261f65752142,China’s energy crisis threatens lengthy disruption to global supply chain,https://www.ft.com/content/5174e592-1f0b-4334-91ab-aa89ceff3821,Buyers in Europe and US must wait longer for supplies as factories are forced to slash operating capacity,https://www.ft.com/content/5174e592-1f0b-4334-91ab-aa89ceff3821,Save,https://www.ft.com/content/5174e592-1f0b-4334-91ab-aa89ceff3821,
October 16 2021,Chinese trade,https://www.ft.com/stream/ddfaf6e2-5b32-4989-b36d-b53af9b681a1,Where’s the beef? China meat ban leaves Brazilian officials baffled,https://www.ft.com/content/67409a6f-5f7a-410c-90d6-a41d0888f5d2,Suspension of shipments following mad cow cases threatens $4bn a year trade,https://www.ft.com/content/67409a6f-5f7a-410c-90d6-a41d0888f5d2,Save,https://www.ft.com/content/67409a6f-5f7a-410c-90d6-a41d0888f5d2,
October 16 2021,UK companies,https://www.ft.com/companies/uk,Courier boss says UK Christmas shopping has started early,https://www.ft.com/content/50c73841-8db6-4703-a6de-e361137e5cd5,Yodel CEO says shoppers are heeding the warnings from retailers and logistics companies to buy in advance,https://www.ft.com/content/50c73841-8db6-4703-a6de-e361137e5cd5,Save,https://www.ft.com/content/50c73841-8db6-4703-a6de-e361137e5cd5,
October 15 2021,,,Georgieva row reveals a murky truth about global financial institutions,https://www.ft.com/content/b30e0df2-0da2-4341-b3a3-6f3df85c7eca,World Bank and IMF are membership bodies with core shareholders who are not independent from geopolitics,https://www.ft.com/content/b30e0df2-0da2-4341-b3a3-6f3df85c7eca,Save,https://www.ft.com/content/b30e0df2-0da2-4341-b3a3-6f3df85c7eca,
October 15 2021,The Road to Recovery,https://www.ft.com/the-road-to-recovery,Hundreds of container ships stuck as global bottlenecks grow,https://www.ft.com/content/5341d046-7206-47aa-a919-a8d4e3d82d5b,Freight costs now at 10 times pre-pandemic levels,https://www.ft.com/content/5341d046-7206-47aa-a919-a8d4e3d82d5b,Save,https://www.ft.com/content/5341d046-7206-47aa-a919-a8d4e3d82d5b,
October 15 2021,The editorial board,https://www.ft.com/ft-view,Dealing with Christmas supply chain indigestion,https://www.ft.com/content/fe284c3a-db88-4e32-8ee4-832eb265ff9f,Seasonal shortages are a spur to manufacturers to invest in capacity,https://www.ft.com/content/fe284c3a-db88-4e32-8ee4-832eb265ff9f,Save,https://www.ft.com/content/fe284c3a-db88-4e32-8ee4-832eb265ff9f,The FT View
October 16 2021,Energy crisis,https://www.ft.com/stream/88f84738-6118-46ea-bb9b-261f65752142,China’s energy crisis threatens lengthy disruption to global supply chain,https://www.ft.com/content/5174e592-1f0b-4334-91ab-aa89ceff3821,Buyers in Europe and US must wait longer for supplies as factories are forced to slash operating capacity,https://www.ft.com/content/5174e592-1f0b-4334-91ab-aa89ceff3821,Save,https://www.ft.com/content/5174e592-1f0b-4334-91ab-aa89ceff3821,
October 16 2021,Chinese trade,https://www.ft.com/stream/ddfaf6e2-5b32-4989-b36d-b53af9b681a1,Where’s the beef? China meat ban leaves Brazilian officials baffled,https://www.ft.com/content/67409a6f-5f7a-410c-90d6-a41d0888f5d2,Suspension of shipments following mad cow cases threatens $4bn a year trade,https://www.ft.com/content/67409a6f-5f7a-410c-90d6-a41d0888f5d2,Save,https://www.ft.com/content/67409a6f-5f7a-410c-90d6-a41d0888f5d2,
October 15 2021,Kevin Rudd,https://www.ft.com/topics/people/Kevin_Rudd,Xi Jinping’s Evergrande dilemma has repercussions far beyond China,https://www.ft.com/content/d9ce37d7-1999-4fcd-ade3-64657ea32320,"Beijing could let the property behemoth go bankrupt, but that risks shockwaves both at home and abroad",https://www.ft.com/content/d9ce37d7-1999-4fcd-ade3-64657ea32320,Save,https://www.ft.com/content/d9ce37d7-1999-4fcd-ade3-64657ea32320,
October 15 2021,Supply chains,https://www.ft.com/stream/59d55e5c-cb83-49dc-bacb-26dcc51566d0,The waiting game: where are the world’s worst port delays?,https://www.ft.com/content/24583d1b-7c65-40ec-8516-711c54495163,"From Shenzhen to Los Angeles, storms, Covid and labour shortages are causing disruption",https://www.ft.com/content/24583d1b-7c65-40ec-8516-711c54495163,Save,https://www.ft.com/content/24583d1b-7c65-40ec-8516-711c54495163,News in-depth
October 15 2021,FirstFT,https://www.ft.com/firstft,FirstFT: FDA advisers back Moderna’s Covid booster,https://www.ft.com/content/e164159a-1583-4570-932f-eb91d3e14f28,Japan’s new PM interview and how to cut Biden’s ‘Build Back Better’ bill,https://www.ft.com/content/e164159a-1583-4570-932f-eb91d3e14f28,Save,https://www.ft.com/content/e164159a-1583-4570-932f-eb91d3e14f28,
,,,,,,,,,
October 15 2021,Supply chains,https://www.ft.com/stream/59d55e5c-cb83-49dc-bacb-26dcc51566d0,Dubai to restrict cargo imports into airport to clear shipment backlog,https://www.ft.com/content/9a23cad4-3280-4e81-a634-846dd47df333,Cargo logjam at regional trade and financial hub blamed on labour shortages,https://www.ft.com/content/9a23cad4-3280-4e81-a634-846dd47df333,Save,https://www.ft.com/content/9a23cad4-3280-4e81-a634-846dd47df333,
October 15 2021,John Plender,https://www.ft.com/john-plender,Rising inflation pierces investor complacency,https://www.ft.com/content/9e1e5a9f-cc09-409b-b2ee-4d69fd153cbe,Something has to give in the unstable equilibrium of markets,https://www.ft.com/content/9e1e5a9f-cc09-409b-b2ee-4d69fd153cbe,Save,https://www.ft.com/content/9e1e5a9f-cc09-409b-b2ee-4d69fd153cbe,The Long View
October 14 2021,Fumio Kishida,https://www.ft.com/stream/697d9a50-f1ab-4030-86e8-52f1a98a354c,Fumio Kishida pledges to steer Japan away from Abenomics,https://www.ft.com/content/ffa6754f-3c12-4729-921d-aa2acc5e96ee,New prime minister says programme has failed to deliver broader growth in first international media interview as leader,https://www.ft.com/content/ffa6754f-3c12-4729-921d-aa2acc5e96ee,Save,https://www.ft.com/content/ffa6754f-3c12-4729-921d-aa2acc5e96ee,Interview
October 14 2021,Brexit,https://www.ft.com/brexit,Brussels urged to prepare contingency plan for UK trade war,https://www.ft.com/content/b5f7dd12-1812-44b8-b682-b4289bcdc7b8,EU countries want European Commission to be ready if Britain suspends key part of Brexit deal,https://www.ft.com/content/b5f7dd12-1812-44b8-b682-b4289bcdc7b8,Save,https://www.ft.com/content/b5f7dd12-1812-44b8-b682-b4289bcdc7b8,
October 14 2021,Retail sector,https://www.ft.com/retail,Biden retail supply plan: 72 days to save Christmas,https://www.ft.com/content/f7fd9906-d8b5-4c51-a663-565528e4e3d7,Big store chains with well-stocked shelves should come out on top if they can take trade from smaller rivals,https://www.ft.com/content/f7fd9906-d8b5-4c51-a663-565528e4e3d7,Save,https://www.ft.com/content/f7fd9906-d8b5-4c51-a663-565528e4e3d7,Lex
October 14 2021,Supply chains,https://www.ft.com/stream/59d55e5c-cb83-49dc-bacb-26dcc51566d0,DP World head says supply chain problems could last for two years,https://www.ft.com/content/6221f67a-3e8f-45ff-99d3-4c1dd2d218c0,Chair of one of the biggest container port operators cites soaring production and labour costs,https://www.ft.com/content/6221f67a-3e8f-45ff-99d3-4c1dd2d218c0,Save,https://www.ft.com/content/6221f67a-3e8f-45ff-99d3-4c1dd2d218c0,
October 14 2021,The Big Read,https://www.ft.com/the-big-read,The supply chain crisis and US ports: ‘Disruption on top of disruption’,https://www.ft.com/content/aa24d82e-16c7-4e3e-868e-42bd32f593be,Biden administration announced measures to ease bottlenecks and shortages but problems are deep-seated,https://www.ft.com/content/aa24d82e-16c7-4e3e-868e-42bd32f593be,Save,https://www.ft.com/content/aa24d82e-16c7-4e3e-868e-42bd32f593be,
October 14 2021,Claire Jones,https://www.ft.com/claire-jones,The flaws behind Biden’s open-all-hours ports strategy,https://www.ft.com/content/0eb86078-34a0-4b3d-8e66-92f2c2896237,"Demanding the logistics industry works round the clock won’t ease logjams, buying less stuff would.",https://www.ft.com/content/0eb86078-34a0-4b3d-8e66-92f2c2896237,Save,https://www.ft.com/content/0eb86078-34a0-4b3d-8e66-92f2c2896237,FT Alphaville
October 14 2021,Chris Giles,https://www.ft.com/chris-giles,Treating companies mean will not keep them keen,https://www.ft.com/content/eae31740-866b-4129-812f-5a7cb9c49cf1,"Contrary to popular belief, making life difficult for businesses does not generally improve their performance",https://www.ft.com/content/eae31740-866b-4129-812f-5a7cb9c49cf1,Save,https://www.ft.com/content/eae31740-866b-4129-812f-5a7cb9c49cf1,
October 14 2021,German economy,https://www.ft.com/stream/3152dab4-adeb-472e-b307-b0a2187f0701,Economists slash German growth forecast as supply problems hit,https://www.ft.com/content/3f0cad2b-a5d4-4780-8fd0-0374909649c8,But research institutes raise outlook for next year to 4.8% from 3.9%,https://www.ft.com/content/3f0cad2b-a5d4-4780-8fd0-0374909649c8,Save,https://www.ft.com/content/3f0cad2b-a5d4-4780-8fd0-0374909649c8,
October 14 2021,Global trade,https://www.ft.com/global-trade,The national security loophole you could sail a trade yacht through,https://www.ft.com/content/e6ed2abf-142c-4ae8-963e-2654900f053a,British shipbuilders and American steelmakers are using dubious carve-outs to block foreign competition,https://www.ft.com/content/e6ed2abf-142c-4ae8-963e-2654900f053a,Save,https://www.ft.com/content/e6ed2abf-142c-4ae8-963e-2654900f053a,
October 14 2021,FirstFT,https://www.ft.com/firstft,FirstFT: JPMorgan kicks-off banks earnings season,https://www.ft.com/content/80296f3c-25a8-4b34-9491-9b21e260c42b,Fed signals start to tapering and Pinterest co-founder to join Jony Ive,https://www.ft.com/content/80296f3c-25a8-4b34-9491-9b21e260c42b,Save,https://www.ft.com/content/80296f3c-25a8-4b34-9491-9b21e260c42b,
October 14 2021,Ngozi Okonjo-Iweala,https://www.ft.com/topics/people/Ngozi_Okonjo-Iweala,Ngozi Okonjo-Iweala: Adopting a global carbon price is essential,https://www.ft.com/content/b0bcc93c-c6d6-475e-bf32-0d10f71ef393,A common approach to the cost of polluting is a fair and straightforward solution,https://www.ft.com/content/b0bcc93c-c6d6-475e-bf32-0d10f71ef393,Save,https://www.ft.com/content/b0bcc93c-c6d6-475e-bf32-0d10f71ef393,
October 14 2021,Martin Sandbu,https://www.ft.com/martin-sandbu,The work that remains to reach net zero,https://www.ft.com/content/9918f2da-131f-4f2a-81e6-a179a23ce1d0,IEA report shows current pledges fall short — and points to free lunches,https://www.ft.com/content/9918f2da-131f-4f2a-81e6-a179a23ce1d0,Save,https://www.ft.com/content/9918f2da-131f-4f2a-81e6-a179a23ce1d0,Free Lunch
October 14 2021,Turkish economy,https://www.ft.com/stream/a54c4ec1-7d7f-4701-ad69-c3363e918c17,Turkish lira hits record low after Erdogan sacks central bank officials,https://www.ft.com/content/88cbe503-e5a0-40d4-8b6e-17ee9567bb97,President removes two deputy governors in new round of dismissals sending currency down 1%,https://www.ft.com/content/88cbe503-e5a0-40d4-8b6e-17ee9567bb97,Save,https://www.ft.com/content/88cbe503-e5a0-40d4-8b6e-17ee9567bb97,
October 14 2021,Chinese economy,https://www.ft.com/chinese-economy,China factory gate prices rise at fastest rate since 1995,https://www.ft.com/content/75871eb7-360e-40b5-9bb3-d65fbf649ee7,Producer price index climbs 10.7% cent in September on a year earlier as energy crunch tightens,https://www.ft.com/content/75871eb7-360e-40b5-9bb3-d65fbf649ee7,Save,https://www.ft.com/content/75871eb7-360e-40b5-9bb3-d65fbf649ee7,
October 14 2021,FT Magazine,https://www.ft.com/magazine,Shortage nation: why the UK is braced for a grim Christmas,https://www.ft.com/content/ff650169-34bc-4ac9-9dc9-dcc429c580ec,"The country’s supply issues have been exacerbated by Brexit, but that’s not the whole story",https://www.ft.com/content/ff650169-34bc-4ac9-9dc9-dcc429c580ec,Save,https://www.ft.com/content/ff650169-34bc-4ac9-9dc9-dcc429c580ec,
October 13 2021,FT live news,https://www.ft.com/stream/71da3673-1793-4e83-a4b1-2d08639fe0f6,"News updates from October 14: LinkedIn exits China, bank earnings underpin biggest jump for US stocks since March, Ikea warns of continued shortages",https://www.ft.com/content/e6bf6f86-4015-4156-a206-2467a4c13b42,,,Save,https://www.ft.com/content/e6bf6f86-4015-4156-a206-2467a4c13b42,
October 13 2021,UK business & economy,https://www.ft.com/uk-business-economy,"Reform UK business rates or risk more shop closures, say trade groups",https://www.ft.com/content/7df80c7f-4bfa-46ad-b20c-aa02cb801930,Ministers urged to overhaul ‘outdated and outmoded’ regime or face losing investment,https://www.ft.com/content/7df80c7f-4bfa-46ad-b20c-aa02cb801930,Save,https://www.ft.com/content/7df80c7f-4bfa-46ad-b20c-aa02cb801930,
October 13 2021,Equities,https://www.ft.com/equities,Wall Street stocks and Treasuries make gains even as inflation data top 5% again,https://www.ft.com/content/3b2d3e57-1575-47ed-8442-9b4ee00b36d5,US figures on consumer prices released on Wednesday come in slightly higher than forecast,https://www.ft.com/content/3b2d3e57-1575-47ed-8442-9b4ee00b36d5,Save,https://www.ft.com/content/3b2d3e57-1575-47ed-8442-9b4ee00b36d5,
October 13 2021,Supply chains,https://www.ft.com/stream/59d55e5c-cb83-49dc-bacb-26dcc51566d0,Big US businesses pledge to extend working hours to ease supply chain backlogs,https://www.ft.com/content/8055d806-3166-48c9-9786-9bdea0e2d806,"Biden administration secures commitment from Walmart, UPS and FedEx to work round the clock",https://www.ft.com/content/8055d806-3166-48c9-9786-9bdea0e2d806,Save,https://www.ft.com/content/8055d806-3166-48c9-9786-9bdea0e2d806,
October 13 2021,Brexit,https://www.ft.com/brexit,Can EU offer on Northern Ireland checks resolve Brexit dispute with UK?,https://www.ft.com/content/053c3a21-166a-4c2f-b6f3-335ba70ef6c8,Brussels and London remain far apart on key aspects of trading arrangements,https://www.ft.com/content/053c3a21-166a-4c2f-b6f3-335ba70ef6c8,Save,https://www.ft.com/content/053c3a21-166a-4c2f-b6f3-335ba70ef6c8,News in-depth
October 13 2021,Federal Reserve,https://www.ft.com/stream/e5533208-e5cc-4be5-aea1-c464a9a205e3,Fed poised to begin tapering as early as next month,https://www.ft.com/content/c52493ff-cc51-4e69-b532-acbd0bdee8c4,Federal Open Market Committee meeting minutes indicate stimulus programme could end by mid-2022,https://www.ft.com/content/c52493ff-cc51-4e69-b532-acbd0bdee8c4,Save,https://www.ft.com/content/c52493ff-cc51-4e69-b532-acbd0bdee8c4,
October 13 2021,Supply chains,https://www.ft.com/stream/59d55e5c-cb83-49dc-bacb-26dcc51566d0,"UK port disruption spreads, casting shadow over Christmas",https://www.ft.com/content/feea45fb-dbcd-4059-b541-e0b6b5c9db51,Problems accessing Felixstowe now reportedly being felt at other facilities,https://www.ft.com/content/feea45fb-dbcd-4059-b541-e0b6b5c9db51,Save,https://www.ft.com/content/feea45fb-dbcd-4059-b541-e0b6b5c9db51,
October 13 2021,Bank of England,https://www.ft.com/stream/0ee3486f-0669-4774-b8f6-0c67e3b6b18f,BoE bans MPC members from having private meetings with bankers,https://www.ft.com/content/e73dafe5-47f2-4121-8e43-bda50e9bab9d,Move follows rumours that deputy governor Ben Broadbent revealed policy information at a gathering,https://www.ft.com/content/e73dafe5-47f2-4121-8e43-bda50e9bab9d,Save,https://www.ft.com/content/e73dafe5-47f2-4121-8e43-bda50e9bab9d,
October 13 2021,The editorial board,https://www.ft.com/ft-view,Making the Northern Ireland protocol work,https://www.ft.com/content/7fe1acf2-7c6c-4907-99f9-1271a697811f,"Negotiation, not confrontation, is needed over post-Brexit trade rules",https://www.ft.com/content/7fe1acf2-7c6c-4907-99f9-1271a697811f,Save,https://www.ft.com/content/7fe1acf2-7c6c-4907-99f9-1271a697811f,The FT View
October 13 2021,The Road to Recovery,https://www.ft.com/the-road-to-recovery,UK growth picks up in August but falls short of expectations,https://www.ft.com/content/2c1e11e3-3d86-41af-b0c4-b8d0593be473,GDP rise of 0.4 per cent could be shortlived as challenges mount,https://www.ft.com/content/2c1e11e3-3d86-41af-b0c4-b8d0593be473,Save,https://www.ft.com/content/2c1e11e3-3d86-41af-b0c4-b8d0593be473,
October 13 2021,US Inflation,https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523,US inflation heats up in September as pressures persist,https://www.ft.com/content/4581bd5d-0771-44ca-93ac-13c4ed2a66be,Consumer price index hovers at 13-year high as food and housing grow more expensive,https://www.ft.com/content/4581bd5d-0771-44ca-93ac-13c4ed2a66be,Save,https://www.ft.com/content/4581bd5d-0771-44ca-93ac-13c4ed2a66be,
October 13 2021,Stephen Roach,https://www.ft.com/stream/b8e1a08c-1c66-3235-b074-a90d8a482f71,The sequencing trap that risks stagflation 2.0,https://www.ft.com/content/99eacd37-a2e0-4c74-b6de-99c1ca7caa70,Today’s generation of central bankers is afflicted with the same sense of denial that proved problematic in the 1970s,https://www.ft.com/content/99eacd37-a2e0-4c74-b6de-99c1ca7caa70,Save,https://www.ft.com/content/99eacd37-a2e0-4c74-b6de-99c1ca7caa70,
