date,group,Class,ClassID,title,URL
October 13 2021,European manufacturing,Fintech,0,August decline raises concerns that bloc’s economic rebound may run out of steam,https://www.ft.com/content/ecec4042-8af5-490e-9792-c6f49fcedbd8
October 13 2021,Chinese economy,Fintech,0,Rise in overseas sourcing in September follows shortages that have hit businesses and households,https://www.ft.com/content/ff4f8306-e8b8-41e4-9ce0-702ec86ef182
October 13 2021,,Fintech,0,Pandemic highlighted great divide between countries over access to cheap finance,https://www.ft.com/content/851546e7-8d2a-4407-9987-da5ab89464c9
October 13 2021,Mark Sedwill,Fintech,0,A step-change in global economic governance is needed to mitigate risks and combat our authoritarian adversaries,https://www.ft.com/content/353535f8-144b-4bd4-8f75-a2516e259336
October 13 2021,Trade Secrets,Fintech,0,"Her predecessor never visited the WTO, but the trade representative’s Geneva stay is more a change in style than substance",https://www.ft.com/content/c80dcc1e-3e7e-49d3-ae07-514353774d10
October 13 2021,FirstFT,Fintech,0,US to reopen land borders with Canada and Mexico and strikes hit US food plants,https://www.ft.com/content/30aef5f3-db3f-4150-b44f-77207ce1f0dc
October 13 2021,UK economic growth,Fintech,0,Activity in sectors including entertainment helped gross domestic product expand after stalling in July,https://www.ft.com/content/1157b09e-a1d8-4f2d-be27-d5f9fd6aa341
October 13 2021,Brexit,Fintech,0,Package from Brussels expected to ease bureaucracy but not address role of European Court of Justice,https://www.ft.com/content/8cdf9824-8c29-4cc8-a88b-81a200a5508c
October 13 2021,Renewable energy,Fintech,0,Fatih Birol says energy market volatility should not become a barrier to policy action,https://www.ft.com/content/644e392b-21de-47f3-accd-0e50be703520
October 12 2021,UK business & economy,Fintech,0,Call for improved oversight follows acquisitions of two of Britain’s leading grocers,https://www.ft.com/content/80bddb0a-9679-45bb-934d-5ad27de04cf6
October 12 2021,Supply chains,Fintech,0,Extent of the fallout has caused surprise but there is optimism for a return to normal in a few months,https://www.ft.com/content/0dd1622d-883a-44a8-80c4-079fc5e90fab
October 12 2021,Brexit,Fintech,0,London demands overhaul of Northern Ireland trading deal as Brussels prepares concessions,https://www.ft.com/content/ad61b5e8-e5d5-4356-be00-0f6fc78cb4c6
October 12 2021,UK economic growth,Fintech,0,"British economy set to still be 3 per cent smaller in 2024, while other leading countries will bounce back",https://www.ft.com/content/af12d4aa-0a3e-4758-83c4-0c4070b504fb
October 12 2021,Kristalina Georgieva,Fintech,0,"The fund’s managing director survived a first report, but a second due soon will reopen questions",https://www.ft.com/content/f0db92e6-38f4-44e6-ba54-831b8b526dcf
October 12 2021,The editorial board,Fintech,0,IMF warns uneven pace of immunisation raises risks of economic scarring,https://www.ft.com/content/be645c65-c61a-49e2-81b8-0a749e9849ca
October 12 2021,Martin Wolf,Fintech,0,"As economies exit the pandemic, the job of central banks is relatively simple — less generous, better targeted assistance",https://www.ft.com/content/dac75674-3d6b-4eaa-b3fe-51af3b7b0f40
October 12 2021,Brompton Bicycle,Fintech,0,Margins squeezed despite rising prices for foldable bikes as company struggles to secure raw materials,https://www.ft.com/content/590b4a28-48f2-4477-99ac-3d24689193e2
October 12 2021,Chris Giles,Fintech,0,"With global supply chains under strain, the head of the UK’s Productivity Institute explains how to revive economic performance",https://www.ft.com/content/c5c017e7-3ece-439b-b331-6f9e08ffb41f
October 12 2021,International Monetary Fund,Fintech,0,"Strength of recovery so far means it is too early to talk about stagflation, says chief economist Gita Gopinath",https://www.ft.com/content/f73d584f-fb2a-4a2f-ab8a-fa759031fa59
October 12 2021,Constanze Stelzenmüller,Fintech,0,A fraying international order requires Berlin to assume more responsibility for European security,https://www.ft.com/content/c657d455-1508-4f2c-a3d5-6f9bad3a66d5
October 12 2021,,Fintech,0,"Most borrowers not only preferred to keep paying during the pandemic, they took on even more debt",https://www.ft.com/content/00b21f50-b8e2-4460-835d-98e26354f404
October 12 2021,FirstFT,Fintech,0,IMF board backs Georgieva and oil prices surge to fresh seven-year high,https://www.ft.com/content/1d21550b-390e-4aa3-84de-0df37805fb8a
October 12 2021,Trade Secrets,Fintech,0,Iron ore exports to China have soared despite political tensions but that boom looks set to stutter,https://www.ft.com/content/4f2bdd74-84da-41db-b7fb-25f47f2cdf7b
October 12 2021,African economy,Fintech,0,"CDC Group to invest $720m for minority stake in project in Egypt, Senegal and Somaliland",https://www.ft.com/content/5a504b06-f272-485f-8d29-f5f0c9ac9314
October 12 2021,Container shipping,Fintech,0,Danish group affected as HGV driver shortage hits unloading,https://www.ft.com/content/6eccab48-eaf2-4f67-ac0e-0005e7e21ef6
October 12 2021,Sarah O'Connor,Fintech,0,Workers who move to new positions tend to get paid more and contribute to wider productivity,https://www.ft.com/content/ad9f2346-19ef-4695-b6c9-c0983176eb23
October 11 2021,Kristalina Georgieva,Fintech,0,Panel expresses ‘full confidence’ in fund’s head despite allegations she boosted China in World Bank rankings,https://www.ft.com/content/06b941ad-be40-4370-a022-16d6fb4450be
October 11 2021,Morocco: Gateway to Africa,Fintech,0,Lower labour costs and government policy have helped attract European auto groups,https://www.ft.com/content/7a8498e5-3fc9-4e90-8dfc-e72d492a8c57
October 11 2021,Morocco: Gateway to Africa,Fintech,0,"As company sign-ups to the project slow due to Covid, the finance city is opening offices in Dubai and London",https://www.ft.com/content/142a7238-545a-44bf-b9ad-46ca386eea00
October 11 2021,Morocco: Gateway to Africa,Fintech,0,"Government underpin to encourage lending during the pandemic has ended, leaving banks’ balance sheets vulnerable",https://www.ft.com/content/0fecb324-8a2e-4b5e-9a71-ed31442a18f9
October 11 2021,Morocco: Gateway to Africa,Fintech,0,"After a contraction last year, the IMF expects the economy to grow by 4.5 per cent in 2021",https://www.ft.com/content/2e16babc-7d31-4af7-acec-9bf9409988e4
October 11 2021,Brexit,Fintech,0,London calls for removal of oversight by EU’s top court of Northern Ireland trading arrangements,https://www.ft.com/content/68fb89c8-d127-4157-938e-31f8ffd4b084
October 11 2021,The Road to Recovery,Fintech,0,IMF and World Bank meetings begin against backdrop of energy and supply chain crises,https://www.ft.com/content/2a52e30e-b8cb-486d-a467-68e73ffc642d
October 11 2021,Gideon Rachman,Fintech,0,The US and China are engaged in a dangerous game of military poker over the future of the island,https://www.ft.com/content/9833d499-07ce-40eb-84e7-436023c6eb8b
October 11 2021,UK interest rates,Fintech,0,Bank of England policymakers indicate tough stance on inflation,https://www.ft.com/content/1c0d0da5-2db8-4ec2-a577-0542317426c3
October 11 2021,FT Swamp Notes,Fintech,0,US trade representative Katherine Tai has put yet another stake in neoliberal conventional wisdom,https://www.ft.com/content/eddaea67-b381-4eb7-88aa-3a879a744d6b
October 11 2021,FirstFT,Fintech,0,"Global energy crisis deepens, Brussels to tighten grip on non-EU banks, Yellen welcomes global tax deal",https://www.ft.com/content/d5fd9b85-1b36-4506-87c2-71ca83ca8b65
October 11 2021,Trade Secrets,Fintech,0,Last week’s deal at the OECD is far from perfect but forestalls a nasty trade war,https://www.ft.com/content/bafd5f96-1da2-4f0c-b2bb-4df8f2ebf1d7
October 11 2021,FTfm: Fixed Income,Fintech,0,Experts discuss the opportunities and risks facing investment managers on the slow road back to normality,https://www.ft.com/content/99463027-d184-4058-bf1f-4fc617b5e54a
October 11 2021,FTfm: Fixed Income,Fintech,0,"In the topsy-turvy world of developing world debt issuance, good times never seem to last",https://www.ft.com/content/38e719af-bcd4-43b7-bf23-b134aea3bbe2
October 11 2021,Italy,Fintech,0,Vaccination success provides basis for confidence as Rome eyes reforms to unlock €205bn from EU,https://www.ft.com/content/14a03110-bc70-4cac-8dd8-bc90cf083070
October 10 2021,Kristalina Georgieva,Fintech,0,US and Japan want fund chief out while European states are more supportive,https://www.ft.com/content/a0cfb7d5-ad32-4aa1-9e08-952accde5b44
October 10 2021,The Week Ahead,Fintech,0,"It’s a good week for runners, but a more nervous one for those awaiting news of economic recovery",https://www.ft.com/content/2ab407ae-87f3-4a74-85f9-605a34fb1b18
October 10 2021,Janet Yellen,Fintech,0,New 15 per cent rate for companies to be included in Biden spending bill being negotiated by Democrats,https://www.ft.com/content/901c1d27-5680-460d-adaa-9264ca182181
October 10 2021,Brexit,Fintech,0,"ECJ role in overseeing key part of Brexit deal is a red line, says Brussels, but Frost set to repeat call to remove it",https://www.ft.com/content/9f06ea29-e516-4c81-83ca-5a805d1d3148
October 10 2021,Rana Foroohar,Fintech,0,The plight of America’s textile makers sums up the country’s complicated trade relationship with China,https://www.ft.com/content/62b4f0e2-2d5f-498c-869f-36f91b937290
October 10 2021,Global economic growth,Fintech,0,Brookings-FT tracking index shows growth is slowing in China and US,https://www.ft.com/content/5b0bf589-bfee-429e-8e64-3c2ea69b7262
October 10 2021,Market Questions,Fintech,0,Market Questions is the FT’s guide to the week ahead,https://www.ft.com/content/3751b9ab-440c-4ca8-a678-ef177763bc32
October 9 2021,Leo Lewis,Fintech,0,"For foreign businesses operating in the Middle Kingdom, it may be best to plan for uncertainty",https://www.ft.com/content/5ca525f7-cb40-468a-a294-5938d11af6a5
October 9 2021,US & Canadian companies,Fintech,0,Post-lockdown revival in ceremonies has coincided with supply chain bottlenecks,https://www.ft.com/content/e624bd8e-656e-4a0a-ab1e-58b85634f683
October 9 2021,John Dizard,Fintech,0,Data show that traffic through global ports is finally starting to ease as backlogs clear,https://www.ft.com/content/6478625f-1d62-4bd0-8a27-5ee3de6f36bc
October 8 2021,Global inflation,Fintech,0,Co-chief investment officer says central banks could find themselves powerless as rising energy prices rock markets,https://www.ft.com/content/a56fa617-57bc-421e-9a67-ae9da352d710
October 8 2021,Brexit,Fintech,0,"Food products would be labelled ‘UK only’ and not cross to Ireland, but offer falls short of demands",https://www.ft.com/content/84767549-757e-4844-b4b0-3ae20f9ce385
October 8 2021,International tax,Fintech,0,OECD-led pact sets 15% floor aimed at raising $150bn annually as US wins two-year ban on tech levies,https://www.ft.com/content/5dc4e2d5-d7bd-4000-bf94-088f17e21936
October 8 2021,US employment,Fintech,0,"World’s largest economy adds just 194,000 jobs, even as unemployment rate falls to 4.8%",https://www.ft.com/content/57ed92ab-994b-4fed-b422-518a0562c698
October 8 2021,Edward Luce,Fintech,0,The debate around Georgieva’s actions has huge geopolitical consequences for multilaterals,https://www.ft.com/content/de0f9916-8de2-4ba8-b97e-f514bd5da511
October 8 2021,Corporation tax,Fintech,0,"Holdouts Hungary, Ireland and Estonia join biggest cross-border overhaul in a century",https://www.ft.com/content/3e3e6a7d-67d5-437d-a7b2-29c52ce9c78f
October 8 2021,FirstFT,Fintech,0,Senate votes to raise US debt limit and Tesla to relocate to Texas,https://www.ft.com/content/29c5bf08-5904-41c3-a26f-7f82390f5125
October 8 2021,Robert Armstrong,Fintech,0,And China’s consumers,https://www.ft.com/content/20876c59-b438-43c0-8432-2b9f828f1b88
October 7 2021,International Monetary Fund,Fintech,0,Paris expected to back fund’s managing director on Friday but UK and Germany are waiting,https://www.ft.com/content/bda40695-35f7-48ec-bc78-35a8aef982ec
October 7 2021,John Plender,Fintech,0,A bad news pileup makes it hard to understand precisely where we are in a cycle hijacked by Covid-19,https://www.ft.com/content/eb8ea1ed-ddb1-4265-a1e7-ef01bb8faf52
October 7 2021,Ireland,Fintech,0,Move will cost country about €2bn in lost revenues as it ditches cherished 12.5% rate,https://www.ft.com/content/2a2f69aa-f61a-4f4e-934f-293665019229
October 7 2021,The editorial board,Fintech,0,Price pressures are greater and central banks less trusted to keep them under control,https://www.ft.com/content/acb830c0-715d-4400-853c-0aac813f7033
October 7 2021,Bank of England,Fintech,0,Huw Pill’s first public remarks suggest he agrees with the hawkish elements of the MPC,https://www.ft.com/content/ce4936a4-4b04-45e5-b151-132651b289fa
October 7 2021,David Pilling,Fintech,0,A new report argues that nations can develop faster by switching to a net zero strategy,https://www.ft.com/content/aac449c1-5414-4692-909b-59b780d61fe9
October 7 2021,Eurozone inflation,Fintech,0,Some policymakers had pushed for a bigger cut in asset purchases at central bank’s September meeting,https://www.ft.com/content/4aa87575-b627-429f-a498-d079ed9c10ea
October 7 2021,,Fintech,0,Power shortages and Covid outbreaks in China have halved spot rates on one route.,https://www.ft.com/content/b6bfe708-3f2d-491b-8887-650c3e4f1ec1
October 7 2021,Global trade,Fintech,0,Environmental campaigners are taking fresh aim at investment treaties and trade agreements,https://www.ft.com/content/ecbf7413-3018-461f-8540-acccbdba2e19
October 7 2021,World,Fintech,0,"US energy secretary considers using reserves, Biden and Xi to hold virtual summit",https://www.ft.com/content/07420a30-5514-46ad-82f0-df37230f11a9
October 7 2021,Martin Sandbu,Fintech,0,Important points from the IMF on where global policymaking is headed,https://www.ft.com/content/1a806a9c-3f4f-4d4f-9db4-3c1d842423b3
October 7 2021,US-China relations,Fintech,0,Decision marks first sign of improving US-China relations since new administration in Washington,https://www.ft.com/content/ebaf5da8-952f-4ef7-b976-f47e770cb810
October 6 2021,South Korean business & finance,Fintech,0,"Industry alarmed by reliance on imports, particularly from China, as electric vehicles take off",https://www.ft.com/content/1be9bd48-28b7-4919-ae91-35e06ac926d7
October 6 2021,Poland,Fintech,0,Zloty jumps as central bank acts to curb surge in inflation to highest level in 20 years,https://www.ft.com/content/07b0f78a-a602-4c35-af64-527c4e201772
October 6 2021,Lena Komileva,Fintech,0,The rosy market calculus of strong growth underpinned by cheap finance into perpetuity is under threat,https://www.ft.com/content/1e68148c-7f61-4bb4-af68-aa2c7d898111
October 6 2021,Energy sector,Fintech,0,Two big Asian economies drive worldwide GDP expansion but coal shortages are hammering output,https://www.ft.com/content/b790d504-b77f-4370-81e5-5ba0d16008bc
October 6 2021,Trade Secrets,Fintech,0,What clues there were left us suspecting any reshaping of relations with China will be far from radical,https://www.ft.com/content/b38ba947-f532-44bc-a3ff-768133085dde
October 6 2021,FirstFT,Fintech,0,"Ex-Facebook employee testifies to Congress, gas prices shoot up and Taiwan warns over China power",https://www.ft.com/content/0e4d243e-7fff-4dc0-aabb-3c72b2e4815d
October 6 2021,Coronavirus economic impact,Fintech,0,Central bank increases lending rate to 0.5% despite Covid lockdown in Auckland,https://www.ft.com/content/3d41796d-6330-40d8-b67a-34a2e3b31a90
October 6 2021,Daniel Bradlow,Fintech,0,Better governance would boost the Fund’s reputation and the efficacy of its policies,https://www.ft.com/content/1c4ce23e-15f2-4461-b9f7-48a198276fe1
October 6 2021,John Redwood,Fintech,0,The markets are dominated by international tensions,https://www.ft.com/content/f7cfb95e-b451-4430-aa1f-d0e25decf8a0
October 5 2021,Nikkei Asia,Fintech,0,Tech manufacturers gear up for their peak season amid uncertainty over power supplies,https://www.ft.com/content/fbdd0fb0-9ac6-47b5-ad2f-2c23e8245e92
October 5 2021,UK business & economy,Fintech,0,Labour shortages have seen steep pay rises for some but not yet translated into higher productivity,https://www.ft.com/content/940e0ba1-485e-4a70-ba29-a966087b6f3b
October 5 2021,Energy crisis,Fintech,0,"Cost of Europe’s natural gas contracts soar 23%, prompting UK government gilt sell-off",https://www.ft.com/content/c94cee7d-4ffe-4946-a83b-b4f85026b74f
October 5 2021,Martin Wolf,Fintech,0,Property’s great investment boom has reached its limit — the economy needs new drivers of demand,https://www.ft.com/content/1abd9d4b-8d94-4797-bdd7-bee0f960746a
October 5 2021,US-China relations,Fintech,0,Discussions expected to include negotiations about a possible virtual Biden-Xi summit,https://www.ft.com/content/2bef8dac-a9a6-4f5a-9be3-4992f313dd55
October 5 2021,International tax,Fintech,0,Dublin poised to ditch 12.5% rate that has been cornerstone of its economic policy,https://www.ft.com/content/bc06a0e4-ee9c-4625-962c-97dc3c3e4406
October 5 2021,UK business & economy,Fintech,0,"Johnson says companies too reliant on cheap, foreign labour while companies decry ‘horrifying rhetoric’",https://www.ft.com/content/45863c4d-f08f-4dd4-a400-59e9a5dd903b
October 5 2021,International Monetary Fund,Fintech,0,Fund boss stresses need for policy ‘credibility’ without addressing her own,https://www.ft.com/content/41574d13-8e36-43c7-8dd6-ac3dc9be5a72
October 5 2021,The editorial board,Fintech,0,US retreat from shaping global system could hand Beijing a victory,https://www.ft.com/content/90f72428-4848-4e94-b730-25bdfebd3baa
October 5 2021,Trade Secrets,Fintech,0,Nations in region will fear economic repercussions of Beijing’s move to join trade pact,https://www.ft.com/content/749a0edd-bc98-4005-8064-d05860f58c8a
October 5 2021,FirstFT,Fintech,0,"Opec+ resists calls to accelerate production, Facebook apps suffer 6-hour outage and breakthrough in treating depression",https://www.ft.com/content/82e6fd06-a342-4944-8d23-d77a196a8992
October 5 2021,UK business & economy,Fintech,0,Prime minister insists ‘uncontrolled migration’ should not resume and argues country will cope this winter,https://www.ft.com/content/254587fc-2302-4154-adfc-1152a0b8e5ec
October 5 2021,Coronavirus economic impact,Fintech,0,"Capital Economics note looks at parallels between the middle of the 20th century and now, and draws on implications for interest rates.",https://www.ft.com/content/b955bd40-b750-4d1c-98a6-9b719bed0e19
October 5 2021,Julia Coronado,Fintech,0,Central bank should look at labour participation to fulfil dual mandates,https://www.ft.com/content/7d232517-cc71-4962-b74f-a5b6f29021ab
October 5 2021,Kathrin Hille,Fintech,0,US bid to seek inventory transparency likely to have limited impact,https://www.ft.com/content/36192845-2f17-46ed-b273-3c5c5ff4e4b9
October 4 2021,Chinese economy,Fintech,0,"Factories face energy rationing, threatening economic growth and global supply chain",https://www.ft.com/content/eae7454f-60de-4b76-a2b5-b61a2b63ee47
October 4 2021,UK business & economy,Fintech,0,Clicks on ads since easing of visa rules rising most sharply from countries whose HGV licences not valid in Britain,https://www.ft.com/content/c3893aa1-432c-4071-ba6c-251be116e10a
October 4 2021,The editorial board,Fintech,0,Global economy is still growing but supply chain disruption is a cause for concern,https://www.ft.com/content/1103d9b2-6608-4255-9fc6-0c9e2e5673c6
October 4 2021,Brexit,Fintech,0,Brexit minister puts onus on Brussels to rethink terms of trade accord and says UK prepared to invoke Article 16,https://www.ft.com/content/f0724b34-f1f9-4c3c-9646-fb0c2bbec952
October 4 2021,Global inflation,Fintech,0,"With global forces slowing growth while increasing inflation, policymakers are struggling to find a path forward",https://www.ft.com/content/35b9b640-8b44-4f4b-b03c-40cd2fff2cfd
October 4 2021,US-China trade dispute,Fintech,0,Biden’s trade representative says ‘phase 1’ deal had some positive effects but Beijing must do more,https://www.ft.com/content/9bb00532-8818-448d-a92f-b5cba0b19fae
October 4 2021,Helen Thomas,Fintech,0,Disentangling effects of leaving EU from jolt of pandemic to labour market is nigh-on impossible,https://www.ft.com/content/7c8bf648-dd0a-4558-9544-f77bde4798b2
October 4 2021,Diane Coyle,Fintech,0,The discipline has to update its assumptions in order to meet the biggest challenges facing society,https://www.ft.com/content/1ec4a6c3-b5db-4e9b-ab48-573541b9676b
October 4 2021,UK business & economy,Fintech,0,UK chancellor tells party conference there is no ‘magic wand’ to deal with supply crisis,https://www.ft.com/content/a03d3eba-2822-4818-8e10-76db2abf91dd
October 4 2021,Trade Secrets,Fintech,0,Demise of World Bank’s Doing Business report shows problem with indicators and incentives,https://www.ft.com/content/f334bf14-2ae3-447a-828d-0d73b65300f8
October 4 2021,FirstFT,Fintech,0,"Social media giant accused of putting ‘profit over safety’, Democrats edge towards compromise and the electric vehicle revolution",https://www.ft.com/content/1532363b-f26a-49f2-bb3b-09bebcbc4a2a
October 4 2021,Turkish economy,Fintech,0,President steps up unconventional efforts to bring down soaring prices,https://www.ft.com/content/c26e4ce1-b9ef-4e50-953e-d7b9f94e5939
October 4 2021,The editorial board,Fintech,0,Bloc would do better to focus on chip design and specialist machinery,https://www.ft.com/content/a016f686-791f-4a3f-9e7a-c6389896862b
October 3 2021,ESG investing,Fintech,0,"Bosses of Goldman Sachs, JPMorgan, BlackRock and Blackstone invited to event",https://www.ft.com/content/44b6ca25-a827-4336-bf36-7da442cbb38d
October 3 2021,Nikkei Asia,Fintech,0,Camera module constraints add more pressure as China power cuts cause manufacturing stoppages,https://www.ft.com/content/13fe62e2-1e6e-4f9d-81d3-6a27d68d1171
October 3 2021,The Week Ahead,Fintech,0,"Plus, Windows gets an upgrade, the Tesco juggernaut speeds up and an economic storm brews",https://www.ft.com/content/6adfdebb-90b9-4d8e-a1c1-d3de38875070
October 3 2021,Rana Foroohar,Fintech,0,"Easy money is not creating better jobs, it’s feeding market bubbles that make the asset-rich richer",https://www.ft.com/content/ee70fa9f-45ac-4bd7-a0b0-694bbdffdb75
October 3 2021,Corporation tax,Fintech,0,Budget minister’s vow may put pressure on US and EU holdouts to get on board at global meeting,https://www.ft.com/content/3f603921-4d41-41b5-9a84-6f584066a267
October 3 2021,US trade,Fintech,0,Commerce secretary Gina Raimondo’s use of Trump’s language on trade is warning shot to EU,https://www.ft.com/content/e1f33362-2c36-4f99-9b11-7dcd82ee7c06
October 3 2021,Market Questions,Fintech,0,Market Questions is the FT’s guide to the week ahead,https://www.ft.com/content/963f7103-e2eb-4fa6-9a14-326475121177
October 2 2021,Afghanistan,Fintech,0,"Lorries transporting produce stuck at border crossings, exacerbating hard currency shortage",https://www.ft.com/content/28e9a87b-d62a-46f2-b0bb-8f854f2679d7
October 2 2021,Payne's Politics podcast,Fintech,0,Dissecting what the leader of the opposition had to say when he delivered his first speech to the Labour party conference this past week,https://www.ft.com/content/aef8069d-fa7f-4b35-b0b2-39966da624ee
October 1 2021,Coronavirus pandemic,Fintech,0,Reopening the city-state has stoked a surge in new cases and panic among anxious residents,https://www.ft.com/content/53025806-e3d8-4be3-8e90-ffaa0ea20649
October 1 2021,The Big Read,Fintech,0,"From petrol, gas and food supplies to hospitals under pressure, the UK could face a series of overlapping crises",https://www.ft.com/content/1e93fab0-916e-4697-be8a-af02bde94411
October 1 2021,The Road to Recovery,Fintech,0,Rising natural gas prices have helped push eurozone inflation to 13-year high,https://www.ft.com/content/01feb0dd-e80c-4d76-abff-73cc5bf88f79
October 1 2021,AO World PLC,Fintech,0,Electronics group also cites fierce competition from online giants as reason for weak performance,https://www.ft.com/content/6bafe329-4403-4b04-805b-5683dd584458
October 1 2021,FirstFT,Fintech,0,"Deals hit record levels, US infrastructure vote postponed, stagflation fears intensify",https://www.ft.com/content/3f2e03b6-89c5-40fa-823e-a178ad7ca75b
October 1 2021,German economy,Fintech,0,Economists fear further spiralling increases as 13-year high of 3.4% reached in September,https://www.ft.com/content/1241b033-6fe3-4cc0-95fc-befdfc7935ab
October 1 2021,Mike Fulwood,Fintech,0,It would take a longer and colder winter than last year to see market pricing sustained above current levels,https://www.ft.com/content/f2ca6690-0390-4374-a9d5-29caf2d651dd
September 30 2021,FT live news,Fintech,0,,
September 30 2021,Gillian Tett,Fintech,0,Governments must come up with intelligent policies to soften the costs from climate change reforms,https://www.ft.com/content/4d278bdf-909e-4e40-947e-1e567426b492
September 30 2021,Cryptocurrencies,Fintech,0,Policymakers worry that growth of cryptocurrencies could lead to central banks losing control,https://www.ft.com/content/b102160a-f326-4c17-8005-7d8b57bc7442
September 30 2021,Eurozone inflation,Fintech,0,Economists expect overall eurozone inflation to reach 3.3% when figures are released on Friday,https://www.ft.com/content/e1a5ce6e-4c13-4ae7-a821-d15a094a4755
September 30 2021,Global inflation,Fintech,0,Economists have played down comparisons with the 1970s oil shock,https://www.ft.com/content/323f4d9f-016c-4510-aa55-ff2c50c8d9a8
September 30 2021,Cyber Security,Fintech,0,US secretary of state seeks to heal rift over Aukus by urging greater sharing of information,https://www.ft.com/content/5733072b-b5db-4164-99f3-a62b249ffc97
September 30 2021,FirstFT,Fintech,0,"Democrats avoid shutdown, Chinese manufacturing contracts and the US suffers car shortages",https://www.ft.com/content/55049d42-8a1c-42c1-b5d9-5107218761cd
September 30 2021,Trade Secrets,Fintech,0,Institution’s new boss Ngozi Okonjo-Iweala has injected energy but made limited progress,https://www.ft.com/content/50109953-45e8-4e01-8d2a-d543aa821a6e
September 30 2021,Martin Sandbu,Fintech,0,The financial repercussions can be contained; the broad economy is more vulnerable,https://www.ft.com/content/6b6a888b-897c-4d71-99f8-d14a97271022
September 30 2021,UK economic growth,Fintech,0,Upward revision supports case for BoE to start tightening monetary policy,https://www.ft.com/content/b1840226-0147-40e8-84b2-814fa8d28917
September 30 2021,Chinese economy,Fintech,0,PMI figures indicate weakness across economy buffeted by property slowdown and pandemic,https://www.ft.com/content/37062e9d-a933-4f61-9115-1f9c4dd1c6d2
September 30 2021,Philip Stephens,Fintech,0,China presents a threat to the liberal global order but the bigger danger lies in the discrediting of democracy,https://www.ft.com/content/9779fde6-edc6-4d4c-b532-fc0b9cad4ed9
